#  T(t-2),T(t-1),T(t),D(t-2),D(t-1),D(t),P(t+1)
27.80,28.60,29.30,4969.10,5264.10,5575.80,28.35
28.60,29.30,30.70,5264.10,5575.80,5852.20,30.92
29.30,30.70,30.50,5575.80,5852.20,6102.40,30.21
30.70,30.50,31.30,5852.20,6102.40,6252.30,30.55
30.50,31.30,31.80,6102.40,6252.30,6334.00,32.00
31.30,31.80,31.20,6252.30,6334.00,6409.40,32.16
31.80,31.20,31.60,6334.00,6409.40,6406.30,34.15
31.20,31.60,31.80,6409.40,6406.30,6432.60,32.23
31.60,31.80,31.50,6406.30,6432.60,6447.70,32.82
31.80,31.50,31.80,6432.60,6447.70,6466.80,35.22
31.50,31.80,31.80,6447.70,6466.80,6533.40,36.24
31.80,31.80,32.30,6466.80,6533.40,6544.00,37.52
31.80,32.30,31.70,6533.40,6544.00,6596.80,34.85
32.30,31.70,30.90,6544.00,6596.80,6544.10,31.83
31.70,30.90,30.80,6596.80,6544.10,6466.70,36.19
30.90,30.80,29.40,6544.10,6466.70,6543.40,40.06
30.80,29.40,28.80,6466.70,6543.40,6625.10,33.40
29.40,28.80,28.50,6543.40,6625.10,6569.50,28.97
28.80,28.50,28.20,6625.10,6569.50,6502.50,30.34
28.50,28.20,27.80,6569.50,6502.50,6474.60,26.17
28.20,27.80,27.40,6502.50,6474.60,6398.70,25.25
27.80,27.40,27.30,6474.60,6398.70,6272.50,20.53
27.40,27.30,26.80,6398.70,6272.50,6085.30,19.46
27.30,26.80,26.30,6272.50,6085.30,6090.20,20.21
26.80,26.30,25.90,6085.30,6090.20,6196.00,22.74
26.30,25.90,25.80,6090.20,6196.00,6196.20,23.42
25.90,25.80,25.80,6196.00,6196.20,6029.80,24.34
25.80,25.80,25.80,6196.20,6029.80,5950.70,24.06
25.80,25.80,25.40,6029.80,5950.70,5841.20,20.39
25.80,25.40,25.00,5950.70,5841.20,5679.70,30.70
25.40,25.00,25.50,5841.20,5679.70,5552.10,24.50
25.00,25.50,25.40,5679.70,5552.10,5344.10,27.94
25.50,25.40,25.70,5552.10,5344.10,5327.10,26.13
25.40,25.70,24.60,5344.10,5327.10,5063.90,22.73
25.70,24.60,24.20,5327.10,5063.90,4797.30,22.14
24.60,24.20,23.70,5063.90,4797.30,4688.10,20.57
24.20,23.70,24.70,4797.30,4688.10,4566.50,17.33
23.70,24.70,23.90,4688.10,4566.50,4426.30,17.65
24.70,23.90,23.50,4566.50,4426.30,4386.20,16.96
23.90,23.50,23.60,4426.30,4386.20,4261.20,15.66
23.50,23.60,23.50,4386.20,4261.20,4260.20,15.91
23.60,23.50,23.80,4261.20,4260.20,4265.30,17.18
23.50,23.80,23.70,4260.20,4265.30,4309.40,17.65
23.80,23.70,24.60,4265.30,4309.40,4299.80,17.87
23.70,24.60,25.30,4309.40,4299.80,4414.20,18.73
24.60,25.30,26.60,4299.80,4414.20,4562.10,21.75
25.30,26.60,27.80,4414.20,4562.10,4859.70,23.65
26.60,27.80,28.40,4562.10,4859.70,5175.10,18.80
27.80,28.40,29.40,4859.70,5175.10,5494.80,21.64
28.40,29.40,29.60,5175.10,5494.80,5776.80,26.49
29.40,29.60,31.00,5494.80,5776.80,5999.20,26.99
29.60,31.00,31.00,5776.80,5999.20,6127.90,27.33
31.00,31.00,30.70,5999.20,6127.90,6131.30,28.76
31.00,30.70,31.20,6127.90,6131.30,6205.00,30.34
30.70,31.20,30.70,6131.30,6205.00,6181.80,34.80
31.20,30.70,30.40,6205.00,6181.80,6200.50,28.04
30.70,30.40,30.50,6181.80,6200.50,6324.10,32.46
30.40,30.50,29.70,6200.50,6324.10,6306.10,39.76
30.50,29.70,29.50,6324.10,6306.10,6350.10,39.08
29.70,29.50,29.50,6306.10,6350.10,6293.10,38.67
29.50,29.50,29.00,6350.10,6293.10,6337.70,39.14
29.50,29.00,28.60,6293.10,6337.70,6346.50,40.35
29.00,28.60,28.70,6337.70,6346.50,6413.80,39.28
28.60,28.70,28.50,6346.50,6413.80,6384.20,39.56
28.70,28.50,28.50,6413.80,6384.20,6403.30,39.63
28.50,28.50,28.40,6384.20,6403.30,6386.20,38.79
